Date,Close,% Diff
2025-08-25,14.11,
2025-08-26,14.1,-0.02
2025-08-27,14.1,-0.02
2025-08-28,14.1,0.01
2025-08-29,14.1,-0.02
2025-09-01,14.11,0.11
2025-09-02,14.13,0.11
